國文,英文,數學,地理,歷史
89,95,89,90,91
58,62,64,66,71
60,73,53,91,90
84,71,52,73,80
84,98,55,65,59
60,99,57,65,59
99,57,52,97,81
100,65,55,55,54
52,55,84,69,72
95,70,83,98,88
79,59,56,91,54
96,55,62,60,63
69,93,59,80,90
58,85,100,73,52
50,80,73,82,93
70,62,67,56,87
61,51,97,74,86
57,98,69,89,72
67,73,65,55,55
69,92,70,86,82
96,98,100,52,73
81,57,84,99,81
77,53,85,89,64
66,62,69,76,75
95,83,87,69,76
69,70,58,99,64
99,56,68,100,62
77,91,93,98,63
87,99,77,65,52
94,60,64,99,51
53,55,69,64,68
91,80,79,62,75
98,76,93,59,70
85,55,56,84,84
57,87,98,83,82
79,72,54,77,53
62,95,90,60,94
57,92,91,71,90
80,75,57,61,56
69,53,55,59,53
58,53,74,97,95
72,88,70,52,67
69,88,76,84,85
86,59,58,63,84
86,76,81,59,57
71,80,64,96,66
80,68,55,74,55
80,90,50,71,75
60,84,65,63,83
81,88,73,56,96
